covidtrialID,measurementOMOPID
NCT04476719,4246512
NCT04476719,40664888
NCT04475068,4129644
NCT04475068,4245997
NCT04488081,4120014
NCT03963622,4233883
NCT04479644,4099154
NCT04479644,4245997
NCT04460599,4120014
NCT04460599,4089636
NCT04460599,4041344
NCT04483375,4245997
NCT04483375,45881236
NCT04483375,4181663
NCT04485429,40484652
NCT04485429,4099605
NCT04485429,44813404
NCT04485429,4322628
NCT04485429,2212333
NCT04477655,4353936
NCT04482595,4052083
NCT04482595,4052083
NCT04482595,3008905
NCT04482595,4211515
NCT04482595,414638
NCT04482595,4094657
NCT04482595,4189605
NCT04482595,4121879
NCT04482595,45890528
NCT04482595,4013964
NCT04482595,45765671
NCT04482595,45766326
NCT04482595,4071522
NCT04482595,4198678
NCT04482595,4094448
NCT04475185,4353936
NCT04475185,4353936
NCT04386876,37311061
NCT04386876,35936749
NCT04386876,4059235
NCT04386876,4245997
NCT04386876,4239408
NCT04386876,4126465
NCT04386876,415479
NCT04386876,4172077
NCT04386876,43532213
NCT04386876,4136121
NCT04386876,4336683
NCT04386876,4230543
NCT04386876,19136048
NCT04386876,4179018
NCT04386876,4263457
NCT04386876,4041531
NCT04386876,42109
NCT04386876,4246512
NCT04386876,40664888
NCT04486313,3006322
NCT04486313,4301868
NCT04486313,4313591
NCT04473365,40484652
NCT03348670,37311061
NCT03348670,4313591
NCT03348670,4096101
NCT03348670,4239408
NCT04343053,4233883
NCT04476992,4344376
NCT04476992,913916
NCT01306084,37019782
NCT04477213,40484652
NCT04485364,403485
NCT04485364,4120014
NCT04485364,4129644
NCT04479163,3025085
NCT04479163,40484652
NCT04487119,4120014
NCT04479345,4189121
NCT04447833,35923655
NCT04447833,4250175
NCT03648372,4308014
NCT03648372,4310328
NCT03648372,4096101
NCT03648372,4130882
NCT03648372,4108582
NCT04480957,45771331
NCT04480957,4245997
NCT04480957,37111521
NCT04473261,4120014
NCT04474288,4098292
NCT04474288,40218805
NCT04474288,35804595
NCT04474288,703439
NCT04402970,4120014
NCT04402970,4055285
NCT04488510,403485
NCT04488510,4120014
NCT04488510,706384
NCT04488510,4129644
NCT03042143,4353713
NCT03042143,4120014
NCT04388527,4120014
NCT04328285,4064728
NCT04330495,4133775
NCT04330495,4094448
NCT04330495,40769164
NCT04330495,4013259
NCT04330495,4078242
NCT04330495,4094657
NCT04330495,4189605
NCT04330495,414638
NCT04330495,4230543
NCT04330495,37396673
NCT04330495,4267147
NCT04330495,4013964
NCT04330495,4480642
NCT04330495,4336683
NCT04330495,35807225
NCT04348383,4120014
NCT04331834,4120014
NCT04331834,4057302
NCT04400032,4405019
NCT04400032,4353713
NCT04393038,4060985
NCT04393038,4126465
NCT04393038,415479
NCT04393038,4302666
NCT04393038,4224504
NCT04393038,45889912
NCT04393038,4148615
NCT04393038,4039428
NCT04393038,2212296
NCT04393038,4195338
NCT04393038,42109
NCT04393038,4189605
NCT04393038,414638
NCT04391309,4081164
NCT04391309,913916
NCT04391309,4096101
NCT04391309,4094448
NCT04336410,4181663
NCT04336410,4172077
NCT04336410,4245997
NCT04336410,528323
NCT04336410,4078242
NCT04268537,4120014
NCT04268537,40487382
NCT04268537,4233883
NCT04268537,4057263
NCT04268537,4353713
NCT04343144,4120014
NCT04363814,37311061
NCT04292899,41949224
NCT04292899,35923655
NCT04292899,4310328
NCT04292899,4096101
NCT04342728,3019838
NCT04342728,409491
NCT04342728,4094448
NCT04405271,448062
NCT04405271,4094448
NCT04329650,4120014
NCT04329650,4041162
NCT04363502,37311065
NCT04363502,4405019
NCT04363502,4096101
NCT04363502,2212761
NCT04363502,2212333
NCT04363502,4322628
NCT04363502,4097616
NCT04363502,4121879
NCT04363502,4103448
NCT04435717,4310328
NCT04377659,4120014
NCT04377659,4122259
NCT04377659,4313591
NCT04377659,4096101
