covidtrialID,procedureOMOPID
NCT04434248,412012
NCT04434248,4324124
NCT04434248,4273629
NCT04434248,4115464
NCT04328467,706637
NCT04348370,4208341
NCT04348370,4028623
NCT04348370,4273629
NCT04348370,44789362
NCT04354428,706637
NCT04402879,19025274
NCT04393311,19025274
NCT04393311,4052536
NCT04382755,19025274
NCT04382755,4058335
NCT04409509,4202832
NCT04409509,19025274
NCT04409509,4052536
NCT04409509,37018292
NCT04409509,4311405
NCT04392973,706637
NCT04392973,4205779
NCT04392973,4314777
NCT04380935,412012
NCT04401410,19025274
NCT04401410,35622675
NCT04355897,45875989
NCT04355897,4182536
NCT04347954,4127485
NCT04347954,4202832
NCT04453891,42742443
NCT04386720,4052536
NCT04386720,21601566
NCT04386720,3174501
NCT04386720,36310218
NCT04441489,19025274
NCT04338347,4052536
NCT04445467,706637
NCT04448782,19025274
NCT04400838,4144375
NCT04400838,4144375
NCT04400838,42538189
NCT04356443,4202832
NCT04356443,36308581
NCT04356443,36309413
NCT04323878,4202832
NCT04392323,35625639
NCT04335851,4222885
NCT04456075,19025274
NCT04375501,4205566
NCT04452669,4052536
NCT04287686,19025274
NCT04287686,4052536
NCT04371744,36310218
NCT04433312,1314425
NCT04453527,4156184
NCT04449588,19025274
NCT04449588,4276025
NCT04449588,4028623
NCT04408222,4202832
NCT04443868,4168133
NCT04443868,4217829
NCT04439045,4295112
NCT04469621,45768197
NCT04448756,19025274
NCT04448756,4052536
NCT04436458,19025274
NCT04413071,4127998
NCT04413071,36311126
NCT04363593,4058335
NCT04374084,19025274
NCT04400929,36308581
NCT04400929,19025274
NCT04435379,4208341
NCT04435379,4028623
NCT04435379,4273629
NCT04435379,4029715
NCT04371510,4324124
NCT04371510,419165
NCT04323761,706637
NCT04323761,4052537
NCT04323761,4052536
NCT04458363,35622675
NCT04381351,36310842
NCT04381351,706637
NCT04381351,4021976
NCT04427332,42593483
NCT04470531,19025274
NCT04346342,19025274
NCT04435457,4106548
NCT04435457,412009
NCT04470622,4139525
NCT04470622,40486624
NCT04470622,4052536
NCT04470622,19025274
NCT04463420,4273629
NCT04359836,706386
NCT04359836,4096461
NCT04359836,4017599
NCT04347928,19025274
NCT04347928,4052536
NCT04434261,1314425
NCT04344587,4024127
NCT04344587,4100637
NCT04344587,764537
NCT04467840,4202832
NCT04467840,19025274
NCT04467840,4163951
NCT04365322,4314777
NCT04365322,9489
NCT04365322,4028623
NCT04365322,4208341
NCT04365322,4273629
NCT04382781,19025274
NCT04443725,4028623
NCT04456452,4300185
NCT04356560,35608102
NCT04397705,4029715
NCT04397705,4187078
NCT04397705,36310218
NCT04369274,19006871
NCT04369274,4163951
NCT04450004,4240345
NCT04450004,4144375
NCT04450004,4024656
NCT04450004,4132855
NCT04450004,4293435
NCT04450004,42538189
NCT04450004,4027509
NCT04459702,320536
NCT04459702,4307649
NCT04449718,19025274
NCT04449718,706637
NCT04399252,4085116
NCT04425720,35608097
NCT04378686,706637
NCT04371978,19025274
NCT04371978,19006871
NCT04371978,21498379
NCT04451889,4032404
NCT04408001,4273629
NCT04461340,4310328
NCT04352634,4193507
NCT04354714,4182536
NCT04383457,429709
NCT04435106,4163951
NCT04350736,320536
NCT04350736,4240345
NCT04445337,4237289
NCT04445337,4052536
NCT04445337,19025274
NCT04251767,4024656
NCT04251767,412012
NCT04338568,36310597
NCT04338568,407374
NCT04338568,4163872
NCT04341610,4303257
NCT04341610,42538189
NCT04470297,4180938
NCT04363606,4013636
NCT04355507,407374
NCT04397900,4132738
NCT04377724,4180039
NCT04452565,19025274
NCT04452565,4163951
NCT04452565,4273629
NCT04452565,706637
NCT04444700,45768197
NCT04444700,19025274
NCT04357574,37016659
NCT04357574,4029715
NCT04400799,4273629
NCT04400799,4029715
NCT04400799,4182536
NCT04400799,44803204
NCT04400799,4322976
NCT04400799,44782967
NCT04372680,4168133
NCT04372680,19025274
NCT04443881,4013354
NCT04443881,19025274
NCT04443881,37018292
NCT04443881,412012
NCT04443881,4324124
NCT04466098,36308581
NCT04466098,706637
NCT04466098,35622675
NCT04392869,4327941
NCT04455815,4059029
NCT04455815,4027509
NCT04455815,4027509
NCT04455815,4271686
NCT04455815,45882909
NCT04455815,4152025
NCT04446377,36308581
NCT04446377,320536
NCT04446377,4121236
NCT04446377,4208341
NCT04446377,4314777
NCT04446377,4027509
NCT04446377,4271686
NCT04420364,19025274
NCT04420364,4311405
NCT04456413,4064863
NCT04456413,36308581
NCT04456413,4242843
NCT04458298,423913
NCT04458298,19025274
NCT04458298,4177224
NCT04458298,4168133
NCT04458298,4052536
NCT04458298,4146536
NCT04470427,4144375
NCT04470427,42538189
NCT04470427,4132738
NCT04388644,4216339
NCT04425915,4324124
NCT04386369,4052536
NCT04399109,4222885
NCT04459975,706637
NCT04430062,4202832
NCT04376476,4314777
NCT04376476,4125482
NCT04459247,19025274
NCT04468958,36308581
NCT04468958,4099958
NCT04468958,706637
NCT04382469,4300757
NCT04463004,19025274
NCT04463004,4028623
NCT04463004,4141762
NCT04463004,37018292
NCT04463004,4144375
NCT04463004,4314777
NCT04463004,4027509
NCT04463004,45882909
NCT04463004,4152025
NCT04463004,429799
NCT04463004,4306298
NCT04463004,4027509
NCT04463004,42872855
NCT04463004,4027509
NCT04351711,45768197
NCT04306705,706637
NCT04465695,4144375
NCT04468087,19025274
NCT04468087,4163951
NCT04464408,706637
NCT04464408,4205779
NCT04433039,4300757
NCT04452097,37018292
NCT04452097,412012
NCT04452097,4324124
NCT04452097,4027509
NCT04452097,35622675
NCT04452097,45766058
NCT04376879,4202832
NCT04445259,4021976
NCT04445259,706637
NCT04445259,43021422
NCT04459325,19025274
NCT04459325,4027509
NCT04453839,4052536
NCT04340219,4273629
NCT04369807,36310218
NCT04369807,4234106
NCT04369807,46270117
NCT04369807,4293435
NCT04436276,706637
NCT04436276,4144375
NCT04349618,4052536
NCT04349618,19025274
NCT04349618,4028623
NCT04451291,4052536
NCT04451291,4202832
NCT04451291,4300185
NCT04463472,4144375
NCT04463472,4330583
NCT04463472,4117038
NCT04463472,4021326
NCT04463472,4021316
NCT04408248,706637
NCT04408248,36310842
NCT04351243,4202832
NCT04351243,4050864
NCT04351243,706637
NCT04351243,36308581
NCT04351243,423913
NCT04351243,19025274
NCT04459533,4052536
NCT04409743,4059951
NCT04399005,4058335
NCT04399005,407374
NCT04293692,45875989
NCT04358536,4300757
NCT04452773,4144375
NCT04452773,4208341
NCT04452773,4028623
NCT04359407,36310218
NCT04359407,4152946
NCT04359407,4252365
NCT04424355,22492
NCT04449276,4144375
NCT04449276,4144375
NCT04449276,4240345
NCT04449276,42538189
NCT04464395,19025274
NCT04464395,19025274
NCT04464395,4165535
NCT04472494,19025274
NCT04422626,4052536
NCT04422626,4202832
NCT04453384,19025274
