covidtrialID,drugOMOPID
NCT04405570,4253604
NCT04405570,42536139
NCT04405570,2160383
NCT04405570,3562203
NCT04303507,40239056
NCT04303507,1525746
NCT04303507,19010927
NCT04303507,43532299
NCT04303507,35200803
NCT04303507,4290025
NCT04303507,45776944
NCT04303507,1508439
NCT04303507,1309161
NCT04303507,35200286
NCT04354597,36717536
NCT04325893,19025274
NCT04364009,19025274
NCT04364009,408573
NCT04364009,1114375
NCT04364009,42800027
NCT04364009,4082398
NCT04364009,35807405
NCT04364009,44818461
NCT04364009,35807405
NCT04364009,35807405
NCT04377750,40171288
NCT04365127,358034
NCT04361942,19025274
NCT04384445,765721
NCT04345276,1748921
NCT04384588,19025274
NCT04384588,4306137
NCT04384588,724113
NCT04384588,4295112
NCT04351906,19010309
NCT04405739,4241216
NCT04405739,4253604
NCT04405739,42536139
NCT04405739,2160383
NCT04405739,3562203
NCT04273581,19025274
NCT04344080,1321341
NCT04366232,1321341
NCT04344106,19025274
NCT04441398,4116857
NCT04339426,4116857
NCT04356534,19025274
NCT04426201,4024511
NCT04426201,4112808
NCT04426201,19025274
NCT04343963,19025274
NCT04343963,4306137
NCT04343963,19071967
NCT04355429,19025274
NCT04356690,4328107
NCT04356690,4306137
NCT04350281,412503
NCT04350281,4194767
NCT04386850,19009405
NCT04412785,4082463
NCT04349098,36310322
NCT04349098,4029802
NCT04349098,1777087
NCT04349098,4299658
NCT04349098,724119
NCT04379518,4325686
NCT04379518,19052489
NCT04379518,4194767
NCT04370223,19025274
NCT04394117,19049024
NCT04394117,40782931
NCT04394117,1560524
NCT04394117,4242843
NCT04348305,19025274
NCT04380519,19006871
NCT04380519,40171288
NCT04380519,4152978
NCT04380519,45892883
NCT04380519,35621782
NCT04380519,1119119
NCT04380519,1151789
NCT04380519,44811813
NCT04380519,1305058
NCT04351724,41950438
NCT04320615,4299925
NCT04320615,45768393
NCT04359511,19025274
NCT04336462,19025274
NCT04392531,35624411
NCT04392531,1792515
NCT04392531,1777087
NCT04392531,1748921
NCT04392531,1738521
NCT04392531,1734104
NCT04432298,2616626
NCT04346589,757679
NCT04324463,1734104
NCT04348409,429709
NCT04348409,19025274
NCT04329832,1777087
NCT04329832,1734104
NCT04422509,19025274
NCT04354831,722871
NCT04354831,19025274
NCT04379271,19049228
NCT04379271,4027509
NCT04373044,4242843
NCT04373044,4029802
NCT04373044,40796107
NCT04276987,19025274
NCT04425772,37109821
NCT04391712,19025274
NCT04331795,42063336
NCT04356937,4194767
NCT04350320,1101554
NCT04353037,37310583
NCT04353037,1777087
NCT04330300,4253605
NCT04357808,4194767
NCT04361214,4242843
NCT04361214,4242843
NCT04361214,4029802
NCT04361214,4179711
NCT04361214,444094
NCT04361214,4295112
NCT04340414,19025274
NCT04424056,1321341
NCT04395911,4242843
NCT04395911,1310317
NCT04395911,19014878
NCT04395911,1305058
NCT04395911,1314273
NCT04395911,190689
NCT04395911,19010482
NCT04395911,4244894
NCT04361526,19025274
NCT04273646,19025274
NCT04388683,4172015
NCT04388683,4627147
NCT04374565,1777087
NCT04374565,1792515
NCT04390178,3186744
NCT04390178,46285248
NCT04390178,42536024
NCT04390178,35807369
NCT04390178,4019381
NCT04390178,4227356
NCT04394377,4273629
NCT04394377,4295112
NCT04377672,4305451
NCT04407130,19025274
NCT04338802,19071968
NCT04386616,4299925
NCT04386616,45768393
NCT04386616,19025274
NCT04401527,4116363
NCT04369365,724113
NCT04336904,4107655
NCT04336904,40765301
NCT04433910,4255383
NCT04412291,19025274
NCT04412291,4306137
NCT04412291,4241216
NCT04315480,19025274
NCT04377308,755695
NCT04377308,413266
NCT04377308,21600443
NCT04377308,74579
NCT04377308,1777087
NCT04364893,4021129
NCT04364893,4169347
NCT04347239,4029802
NCT04347239,1734104
NCT04347239,42537728
NCT04347239,35807403
NCT04347239,19006871
NCT04347239,4027509
NCT04347239,4241216
NCT04336254,19025274
NCT04335084,4241216
NCT04411433,44378
NCT04411433,173817
NCT04411433,1762711
NCT04411433,1792515
NCT04411433,4125861
NCT04411433,1777087
NCT04411433,722871
NCT04411433,442752
NCT04414267,4008249
NCT04348877,45772719
NCT04388826,4241216
NCT04388826,21602571
NCT04388826,155231
NCT04388826,17184
NCT04379076,4024511
NCT04379076,4112808
NCT04379076,19025274
NCT04363827,1139042
NCT04418531,757679
NCT04418531,19025274
NCT04367168,1101554
NCT04345601,19025274
NCT04359290,4194767
NCT04442191,36310484
NCT04381988,1777087
NCT04381988,4194767
NCT04315987,19025274
NCT04370834,40171288
NCT04370834,4295112
NCT04370834,4156433
NCT04370834,1314502
NCT04370834,429709
NCT04370834,37311061
NCT04370834,4194767
NCT04370834,19052489
NCT04370834,35807249
NCT04355728,19025274
NCT04366271,4139525
NCT04366271,35807195
NCT04414631,403748
NCT04346446,19025274
NCT04410510,4306137
NCT04410510,19006871
NCT04397497,4306137
NCT04408456,3631059
NCT04332991,1777087
NCT04374903,1777087
NCT04343651,4029802
NCT04343651,4027509
NCT04343651,4241216
NCT04365101,4249827
NCT04365101,45768802
NCT04365101,4024511
NCT04365101,40485002
NCT04365101,19052489
NCT04365101,429709
NCT04365101,4242843
NCT04346355,19025274
NCT04346355,4194767
NCT04395456,19025274
NCT04395456,761569
NCT04324073,19025274
NCT04365309,1112807
NCT04322344,4077953
NCT04371367,19025274
NCT04360876,1777087
NCT04375397,952045
NCT04333914,19025274
NCT04333914,4194767
NCT04311177,1500211
NCT04311177,1500211
NCT04311177,40240083
NCT04311177,4241216
NCT04351919,1777087
NCT04339816,19025274
NCT04394182,19025274
NCT04380688,19025274
NCT04380688,4299925
NCT04380688,45768393
NCT04416113,43449
NCT04252885,19071968
NCT04346199,4299925
NCT04346199,45768393
NCT04317040,19025274
NCT04390503,4242843
NCT04390503,4128938
NCT04390217,19025274
NCT04335071,19025274
NCT04375046,4342025
NCT04433949,40769439
NCT04365153,37313048
NCT04403685,4306137
NCT04346329,40239056
NCT04346329,1525746
NCT04346329,19010927
NCT04346329,43532299
NCT04346329,35200803
NCT04346329,4290025
NCT04346329,45776944
NCT04339660,19025274
NCT04348435,45878116
NCT04322773,19025274
NCT04365985,111422
NCT04365985,785649
NCT04365985,4074749
NCT04359680,3800362
NCT04286503,19025274
NCT04433546,4140762
NCT04433546,19025274
NCT04360486,37311061
NCT04360486,4248372
NCT04412018,4027509
NCT04412018,4241216
NCT04363853,19006871
NCT04363853,4306137
NCT04363853,40171288
NCT04363853,35807403
NCT04440007,4299925
NCT04440007,45768393
NCT04353206,19025274
NCT04392778,19025274
NCT04407182,4027509
NCT04407182,4241216
NCT04353284,43532444
NCT04349371,4242843
NCT04349371,4024511
NCT04349371,44811813
NCT04349371,4224323
NCT04413838,19025274
NCT04313127,4194767
NCT04346368,19025274
NCT04371965,1750087
NCT04372082,4242843
NCT04401579,1151422
NCT04402957,19025274
