covidtrialID,locationID
NCT04360122,loc_14
NCT04480593,loc_4
NCT04483960,loc_9
NCT04427332,loc_3
NCT04341116,loc_0
NCT04513990,loc_0
NCT04336332,loc_0
NCT04549376,loc_45
NCT04386044,loc_5
NCT04392089,loc_11
NCT04380727,loc_1
NCT04350931,loc_14
NCT04529499,loc_60
NCT04346043,loc_14
NCT04402840,loc_0
NCT04358081,loc_0
NCT04373044,loc_0
NCT04434157,loc_15
NCT04476823,loc_1
NCT04513184,loc_15
NCT04402866,loc_0
NCT04359667,loc_63
NCT04505709,loc_2
NCT04408456,loc_17
NCT04527575,loc_7
NCT04355507,loc_1
NCT04456049,loc_19
NCT04498247,loc_12
NCT04427267,loc_7
NCT04424940,loc_94
NCT04347876,loc_14
NCT04342897,loc_0
NCT04348214,loc_14
NCT04279197,loc_10
NCT04501978,loc_0
NCT04412265,loc_3
NCT04494867,loc_0
NCT04527458,loc_5
NCT04374526,loc_3
NCT04539275,loc_0
NCT04333732,loc_0
NCT04333732,loc_6
NCT04333732,loc_72
NCT04333732,loc_55
NCT04333732,loc_13
NCT04333732,loc_16
NCT04333732,loc_88
NCT04333732,loc_5
NCT04333732,loc_54
NCT04333732,loc_58
NCT04497779,loc_0
NCT04303299,loc_64
NCT04455308,loc_1
NCT04382235,loc_3
NCT04351529,loc_24
NCT04510207,loc_67
NCT04510207,loc_49
NCT04510207,loc_47
NCT04346147,loc_2
NCT04365231,loc_1
NCT04329507,loc_5
NCT04555109,loc_6
NCT04338932,loc_12
NCT04482634,loc_18
NCT04518735,loc_2
NCT04354701,loc_0
NCT04358939,loc_1
NCT04407195,loc_0
NCT04438980,loc_2
NCT04439084,loc_0
NCT04346368,loc_10
NCT04531501,loc_5
NCT04359121,loc_24
NCT04420988,loc_0
NCT04350736,loc_0
NCT04348240,loc_0
NCT04332913,loc_3
NCT04379336,loc_16
NCT04470414,loc_14
NCT04487951,loc_14
NCT04366830,loc_0
NCT04386850,loc_40
NCT04397523,loc_78
NCT04357808,loc_2
NCT04427254,loc_1
NCT04334005,loc_2
NCT04351581,loc_11
NCT04349592,loc_75
NCT04410939,loc_18
NCT04288102,loc_10
NCT04374591,loc_14
NCT04537585,loc_94
NCT04345315,loc_3
NCT04459325,loc_7
NCT04453553,loc_5
NCT04347980,loc_1
NCT04508023,loc_0
NCT04393155,loc_0
NCT04422574,loc_1
NCT04459676,loc_4
NCT04559035,loc_0
NCT04362176,loc_0
NCT04353323,loc_1
NCT04323878,loc_3
NCT04373161,loc_0
NCT04343339,loc_1
NCT04544176,loc_5
NCT04355715,loc_1
NCT04451291,loc_6
NCT04460703,loc_0
NCT04368845,loc_21
NCT04459312,loc_8
NCT04353180,loc_14
NCT04478539,loc_78
NCT04514003,loc_33
NCT04537650,loc_0
NCT04537650,loc_6
NCT04497402,loc_3
NCT04377750,loc_28
NCT04388813,loc_0
NCT04487691,loc_0
NCT04473248,loc_6
NCT04544891,loc_1
NCT04355767,loc_0
NCT04404426,loc_1
NCT04512079,loc_0
NCT04519255,loc_10
NCT04353206,loc_0
NCT04395768,loc_9
NCT04516954,loc_57
NCT04509752,loc_18
NCT04344431,loc_1
NCT04380376,loc_7
NCT04364984,loc_39
NCT04542408,loc_8
NCT04412291,loc_20
NCT04353674,loc_6
NCT04386564,loc_7
NCT04412382,loc_3
NCT04494893,loc_0
NCT04473365,loc_111
NCT04386265,loc_0
NCT04386265,loc_29
NCT04483830,loc_15
NCT04477668,loc_26
NCT04501458,loc_71
NCT04424004,loc_0
NCT04403672,loc_45
NCT04524715,loc_0
NCT04502069,loc_28
NCT04529525,loc_22
NCT04433325,loc_1
NCT04376580,loc_22
NCT04355247,loc_59
NCT04530656,loc_10
NCT04507256,loc_5
NCT04519502,loc_0
NCT04521036,loc_57
NCT04358926,loc_28
NCT04499300,loc_12
NCT04539795,loc_0
NCT04526990,loc_25
NCT04387760,loc_67
NCT04438070,loc_6
NCT04496141,loc_35
NCT04388527,loc_0
NCT04335305,loc_2
NCT04497272,loc_1
NCT04523831,loc_45
NCT04487444,loc_0
NCT04338828,loc_0
NCT04344730,loc_1
NCT04523051,loc_1
NCT04476602,loc_0
NCT04371952,loc_1
NCT04391309,loc_0
NCT04372589,loc_0
NCT04372589,loc_6
NCT04529447,loc_31
NCT04438694,loc_14
NCT04389840,loc_0
NCT04419571,loc_5
NCT04273321,loc_10
NCT04390477,loc_2
NCT04500626,loc_6
NCT04480060,loc_18
NCT04387643,loc_17
NCT04488562,loc_13
NCT04313127,loc_10
NCT04347538,loc_0
NCT04355026,loc_62
NCT04338360,loc_0
NCT04505774,loc_0
NCT04400058,loc_0
NCT04450277,loc_37
NCT04470999,loc_0
NCT04374461,loc_0
NCT04377802,loc_26
NCT04353336,loc_14
NCT04481646,loc_5
NCT04516915,loc_5
NCT04387292,loc_1
NCT04418206,loc_1
NCT04336657,loc_14
NCT04387786,loc_0
NCT04506229,loc_0
NCT04317040,loc_0
NCT04334252,loc_12
NCT04469647,loc_26
NCT04524663,loc_0
NCT04480138,loc_15
NCT04542876,loc_17
NCT04544033,loc_14
NCT04339426,loc_0
NCT04418245,loc_1
NCT04418245,loc_65
NCT04350320,loc_2
NCT04380987,loc_66
NCT04341285,loc_8
NCT04354584,loc_11
NCT04409509,loc_0
NCT04525911,loc_1
NCT04519034,loc_5
NCT04368221,loc_1
NCT04343794,loc_35
NCT04506268,loc_0
NCT04331665,loc_6
NCT04368260,loc_0
NCT04371679,loc_12
NCT04542200,loc_0
NCT04379375,loc_0
NCT04352491,loc_17
NCT04318444,loc_0
NCT04402203,loc_45
NCT04357574,loc_0
NCT04467840,loc_28
NCT04467840,loc_15
NCT04467840,loc_7
NCT04352751,loc_25
NCT04498377,loc_0
NCT04388670,loc_3
NCT04363502,loc_0
NCT04384731,loc_1
NCT04374487,loc_17
NCT04502472,loc_0
NCT04406038,loc_7
NCT04412018,loc_6
NCT04468139,loc_26
NCT04522076,loc_7
NCT04354428,loc_0
NCT04341038,loc_2
NCT04408170,loc_5
NCT04474340,loc_60
NCT04363008,loc_6
NCT04558424,loc_45
NCT04366141,loc_6
NCT04518969,loc_12
NCT04373759,loc_56
NCT04373759,loc_1
NCT04373759,loc_65
NCT04370288,loc_40
NCT04497246,loc_12
NCT04475120,loc_3
NCT04366024,loc_10
NCT04486508,loc_40
NCT04445610,loc_14
NCT04537208,loc_0
NCT04407689,loc_1
NCT04379076,loc_5
NCT04352764,loc_0
NCT04338568,loc_12
NCT04293692,loc_10
NCT04474288,loc_0
NCT04380714,loc_1
NCT04383886,loc_1
NCT04386668,loc_5
NCT03348670,loc_0
NCT04345276,loc_10
NCT04291729,loc_10
NCT04405466,loc_8
NCT04451317,loc_1
NCT03305341,loc_0
NCT04361565,loc_1
NCT04534712,loc_17
NCT04481685,loc_0
NCT04403880,loc_0
NCT04403880,loc_90
NCT04403880,loc_38
NCT04403880,loc_27
NCT04403880,loc_16
NCT04403880,loc_91
NCT04403880,loc_54
NCT04403880,loc_58
NCT04368988,loc_0
NCT04368988,loc_9
NCT04362137,loc_0
NCT04362137,loc_22
NCT04362137,loc_4
NCT04362137,loc_6
NCT04362137,loc_23
NCT04362137,loc_1
NCT04362137,loc_8
NCT04362137,loc_3
NCT04362137,loc_15
NCT04362137,loc_27
NCT04362137,loc_7
NCT04362137,loc_2
NCT04362137,loc_18
NCT04362137,loc_5
NCT04358029,loc_0
NCT04447222,loc_0
NCT04438837,loc_28
NCT04416438,loc_1
NCT04350580,loc_1
NCT04415060,loc_6
NCT04512027,loc_17
NCT04474301,loc_0
NCT04349202,loc_0
NCT04381013,loc_0
NCT04524520,loc_5
NCT04545749,loc_48
NCT04393324,loc_2
NCT04357327,loc_3
NCT04394793,loc_17
NCT04366232,loc_1
NCT04477083,loc_14
NCT04383535,loc_22
NCT04500639,loc_6
NCT04540926,loc_15
NCT04528771,loc_0
NCT04400032,loc_6
NCT04366271,loc_2
NCT04456101,loc_10
NCT04548557,loc_25
NCT04342663,loc_0
NCT04371640,loc_0
NCT04387656,loc_0
NCT04379284,loc_0
NCT04476940,loc_0
NCT04349631,loc_0
NCT04437719,loc_1
NCT04533399,loc_16
NCT04370275,loc_3
NCT04519372,loc_19
NCT04379297,loc_66
NCT04382053,loc_4
NCT04382053,loc_11
NCT04382053,loc_8
NCT04382053,loc_36
NCT04382053,loc_13
NCT04382053,loc_7
NCT04382053,loc_16
NCT04382053,loc_2
NCT04488484,loc_1
NCT04355897,loc_0
NCT04348877,loc_14
NCT04379271,loc_80
NCT04379271,loc_8
NCT04497389,loc_0
NCT04530409,loc_14
NCT04485130,loc_0
NCT04405921,loc_52
NCT04494646,loc_0
NCT04401202,loc_26
NCT04435223,loc_1
NCT04406090,loc_1
NCT04497623,loc_23
NCT04449042,loc_0
NCT04362813,loc_0
NCT04362813,loc_1
NCT04362813,loc_8
NCT04362813,loc_36
NCT04362813,loc_3
NCT04362813,loc_7
NCT04362813,loc_2
NCT04362813,loc_5
NCT04501822,loc_7
NCT04405986,loc_1
NCT04495816,loc_0
NCT04531111,loc_14
NCT04385069,loc_5
NCT04408157,loc_5
NCT04342884,loc_0
NCT04395976,loc_5
NCT04407559,loc_1
NCT04503447,loc_12
NCT04390191,loc_0
NCT04469491,loc_1
NCT04397614,loc_0
NCT04328480,loc_22
NCT04379310,loc_18
NCT04418544,loc_0
NCT04354519,loc_5
NCT04407299,loc_14
NCT04377646,loc_52
NCT04444401,loc_3
NCT04530396,loc_7
NCT04509973,loc_11
NCT04509973,loc_17
NCT04509973,loc_20
NCT04509973,loc_19
NCT04527315,loc_0
NCT04472728,loc_0
NCT04472728,loc_12
NCT04399733,loc_5
NCT04354259,loc_6
NCT04323644,loc_2
NCT04457349,loc_14
NCT04424771,loc_3
NCT04438850,loc_3
NCT04438850,loc_2
NCT04352842,loc_10
NCT04429854,loc_12
NCT04542447,loc_17
NCT04393961,loc_0
NCT04398290,loc_0
NCT04410549,loc_3
NCT04381988,loc_0
NCT04462120,loc_14
NCT04377308,loc_0
