covidtrialID,drugOMOPID
NCT04482699,4241216
NCT04477993,45878375
NCT04477993,4314777
NCT04477993,40244464
NCT04489446,1316262
NCT04489446,42539534
NCT04489446,174694
NCT04489446,985708
NCT04489446,1703653
NCT04489446,1746244
NCT04489446,4253599
NCT04473690,4084374
NCT04473690,45878727
NCT04473690,4015824
NCT04473690,4024511
NCT04473690,4049795
NCT04473690,4029802
NCT04473690,4008249
NCT04473690,4049795
NCT04473690,4008249
NCT04473690,4035872
NCT04473690,765721
NCT04473690,45883741
NCT04473690,35941093
NCT04473690,35807195
NCT04473690,42046226
NCT04473690,4072472
NCT04485130,4273629
NCT04485130,35807403
NCT04485130,35807403
NCT04485130,21601607
NCT04485130,1551099
NCT04485130,1305058
NCT04485130,1310149
NCT04485130,4171734
NCT04489628,19018544
NCT04489628,19009405
NCT04483973,35807195
NCT04441047,1541079
NCT04441047,723634
NCT04441047,4047983
NCT04441047,1326303
NCT04441047,4313306
NCT04441047,765721
NCT04441047,4295937
NCT04414241,1777087
NCT04414241,1792515
NCT04414241,1734104
NCT04479540,4236208
NCT04407000,32765
NCT04407000,1912789
NCT04407000,36230666
NCT04407000,40768833
NCT04407000,723521
NCT04407000,36444848
NCT04407000,1367571
NCT04407000,42539385
NCT04407000,1134439
NCT04407000,4103594
NCT04407000,43533099
NCT04407000,36203427
NCT04407000,4126329
NCT04476745,19095164
NCT04476745,4027509
NCT04475302,4112808
NCT04475302,45876342
NCT04475302,4286972
NCT04475302,4173939
NCT04475302,4049795
NCT04475302,45768802
NCT04483271,4027509
NCT04395508,4148887
NCT04395508,358034
NCT04395508,4236208
NCT04395508,356115
NCT04395508,21601607
NCT04395508,150627
NCT04484025,35807195
NCT04484025,19025274
NCT04488575,4236208
NCT04488575,3186744
NCT04488575,4024511
NCT04488575,1305058
NCT04488575,19014878
NCT04488575,19010482
NCT04488575,950637
NCT04488575,37018292
NCT04488575,19052489
NCT04444986,32765
NCT04444986,1912789
NCT04444986,36230666
NCT04444986,40768833
NCT04444986,723521
NCT04444986,36444848
NCT04444986,1367571
NCT04444986,42539385
NCT04444986,1134439
NCT04444986,4103594
NCT04444986,43533099
NCT04444986,36203427
NCT04444986,4126329
NCT04479202,45880431
NCT04487691,19025274
NCT04487691,4165029
NCT03891420,35807195
NCT03891420,45768802
NCT03891420,35941093
NCT03891420,42070132
NCT03891420,4107646
NCT04401033,4242843
NCT04401033,1551099
NCT04401033,19014878
NCT04401033,19010482
NCT04401033,143665
NCT04401033,1305058
NCT04401033,190689
NCT04401033,950637
NCT04401033,1901144
NCT04401033,4227356
NCT04401033,4211478
NCT04482712,19034726
NCT04482712,4242843
NCT04482712,4024511
NCT04482712,4253598
NCT04482712,45768802
NCT04482712,42536147
NCT04482712,35807409
NCT04482712,4253603
NCT04482712,19049038
NCT04482712,19025274
NCT04476706,4029802
NCT04476706,4253598
NCT04476706,45768802
NCT04476706,35807409
NCT04476706,723814
NCT04476706,40171288
NCT04476706,35807195
NCT04346979,21601607
NCT04480138,36203427
NCT04481633,1314273
NCT04481633,1310317
NCT04481633,1777087
NCT04481633,1792515
NCT04481633,4242843
