covidtrialID,conditionOMOPID
NCT04457726,40757687
NCT04457726,4186898
NCT04457726,45881078
NCT04457726,134057
NCT04457726,20182
NCT04457726,433736
NCT04457726,193782
NCT04457726,194984
NCT04327479,3731106
NCT04445246,37311061
NCT04445246,43739
NCT04354610,756039
NCT04354610,201965
NCT04354610,4256228
NCT04472728,37311061
NCT04472728,756039
NCT04472728,37311061
NCT04472728,756039
NCT04472728,255848
NCT04472728,100357
NCT04472728,317376
NCT04472728,314383
NCT04472728,4138837
NCT04472728,4175534
NCT04472728,4438
NCT04472728,43021229
NCT04472728,44789398
NCT04397172,4195694
NCT04397172,703439
NCT04366752,255848
NCT04366752,37311061
NCT04366752,756039
NCT04405869,43225
NCT04405869,703439
NCT04457817,37311061
NCT04389489,4299535
NCT04389489,37311061
NCT04366882,37311061
NCT04361786,141456
NCT04361786,4143972
NCT04361786,4280654
NCT04361786,3731106
NCT04403607,37311061
NCT04425850,4057316
NCT04401046,443392
NCT04401046,4240565
NCT04420338,4049322
NCT04412031,45878035
NCT04426006,37311061
NCT04468009,37311061
NCT04468009,4195694
NCT04468009,196236
NCT04468009,196236
NCT04468009,4212484
NCT04355611,9275
NCT04355611,4289517
NCT04355611,4028109
NCT04355611,254761
NCT04355611,437663
NCT04355611,437113
NCT04401449,37311061
NCT04401449,45880544
NCT04401449,756039
NCT04401449,4162526
NCT04401449,21497921
NCT04455308,141456
NCT04452604,138708
NCT04452604,36712852
NCT04452604,43225
NCT04452604,764222
NCT04452604,437663
NCT04452604,100357
NCT04452604,254761
NCT04452604,312437
NCT04452604,7767
NCT04452604,4226263
NCT04452604,4276172
NCT04452604,378253
NCT04452604,196523
NCT04452604,200219
NCT04452604,437113
NCT04452604,4289517
NCT04452604,379019
NCT04452604,4242243
NCT04452604,4070654
NCT04452604,40599742
NCT04452604,4305027
NCT04452604,75048
NCT04452604,4086499
NCT04466839,38127
NCT04373200,37311061
NCT04373200,4195694
NCT04373200,100357
NCT04460274,37311061
NCT04422353,35806066
NCT04422353,37311061
NCT04409847,4299535
NCT04409847,443392
NCT04409847,313217
NCT04409847,37311061
NCT04380766,4180793
NCT04368884,37311061
NCT04368884,37311061
NCT04462757,4299535
NCT04462757,37311061
NCT04368299,4214702
NCT04374370,37311061
NCT04374370,37311061
NCT04374370,1177324
NCT04374370,312437
NCT04374370,260936
NCT04374370,40483553
NCT04374370,4256228
NCT04374370,196236
NCT04374370,196236
NCT04374370,4212484
NCT04463758,37311061
NCT04463758,4299535
NCT04444687,4017461
NCT04408066,37311061
NCT04408066,703439
NCT04430374,36308337
NCT04430374,4028367
NCT04430374,37311061
NCT04430374,756039
NCT04430374,45882375
NCT04366206,37311061
NCT04366206,4236139
NCT04341792,37311061
NCT04341792,4112341
NCT04341792,4276172
NCT04341792,4147218
NCT04341792,254761
NCT04341792,312437
NCT04341792,764463
NCT04341792,419165
NCT04341792,4306572
NCT04341792,4158346
NCT04341792,45876719
NCT04378803,35940662
NCT04459286,703439
NCT04459286,4142947
NCT04459286,437663
NCT04459286,254761
NCT04459286,442752
NCT04459286,4226263
NCT04459286,312437
NCT04459286,4185711
NCT04459286,4289517
NCT04459286,37311061
NCT04462848,40589905
NCT04462848,37311065
NCT04462848,4153516
NCT04462848,321588
NCT04462848,312723
NCT04462848,45884896
NCT04462848,314971
NCT04462848,4305451
NCT04462848,756083
