covidtrialID,measurementOMOPID
NCT04467840,4216826
NCT04467840,4048496
NCT04467840,4189605
NCT04467840,414638
NCT04467840,4230543
NCT04467840,4013964
NCT04467840,4148615
NCT04467840,4267147
NCT04467840,45889912
NCT04394884,45889912
NCT04443725,4190899
NCT04443725,4094657
NCT04443725,4049322
NCT04443725,4213477
NCT04443725,37111521
NCT04397705,45771331
NCT04369274,4326744
NCT04369274,4098135
NCT04369274,439937
NCT04369274,2212333
NCT04369274,4322628
NCT04369274,36304833
NCT04450004,4181663
NCT04450004,42739976
NCT04450004,4078242
NCT04450004,913915
NCT04450004,43303
NCT04450004,44795971
NCT04459702,35936749
NCT04459702,45771331
NCT04459702,37111521
NCT04459702,9394
NCT04399252,4148615
NCT04399252,4081164
NCT04399252,44783274
NCT04371978,703443
NCT04411147,4161294
NCT04411147,3033607
NCT04411147,4120014
NCT04411147,4207489
NCT04408001,4081164
NCT04367805,4120014
NCT04461340,4313591
NCT04461340,4233883
NCT04461340,4213477
NCT04461340,434557
NCT04325672,409491
NCT04379375,37311061
NCT04350736,413384
NCT04350736,4181663
NCT04445337,434004
NCT04251767,4211515
NCT04354818,45771331
NCT04341610,4094448
NCT04470297,37392316
NCT04466982,40218805
NCT04377724,403485
NCT04452565,4026077
NCT04452565,4336683
NCT04452565,37392316
NCT04452565,45890528
NCT04452565,19124906
NCT04444700,45889912
NCT04444700,4267147
NCT04444700,19054702
NCT04444700,4306239
NCT04444700,36716965
NCT04400799,45889912
NCT04400799,4267147
NCT04400799,403485
NCT04400799,2212296
NCT04400799,45766326
NCT04433754,919204
NCT04433754,99076
NCT04435522,4078242
NCT04443881,41932474
NCT04443881,3630868
NCT04443881,4039428
NCT04443881,431447
NCT04443881,4480642
NCT04443881,4232915
NCT04443881,415479
NCT04333407,4088483
NCT04333407,4039428
NCT04466098,4353936
NCT04466098,4353713
NCT04466098,1507835
NCT04466098,37039968
NCT04466098,4150345
NCT04466098,4108582
NCT04455815,4041531
NCT04455815,4094657
NCT04455815,4189605
NCT04455815,42109
NCT04455815,4267147
NCT04455815,4055286
NCT04455815,4223299
NCT04353583,4230165
NCT04353583,46236995
NCT04385576,1175318
NCT04446377,4313591
NCT04446377,4310328
NCT04446377,4224504
NCT04446377,3630473
NCT04446377,414638
NCT04446377,45884383
NCT04446377,4094657
NCT04446377,4189605
NCT04446377,45890528
NCT04446377,372052
NCT04446377,4013964
NCT04446377,4078213
NCT04446377,415479
NCT04446377,4152194
NCT04446377,9394
NCT04446377,4048496
NCT04446377,4216826
NCT04420364,4336683
NCT04420364,4151358
NCT04456413,4208169
NCT04456413,42599174
NCT04456413,4122259
NCT04456413,40763481
NCT04456413,37019782
NCT04456413,4245997
NCT04456413,4126465
NCT04456413,4213477
NCT04456413,37311061
NCT04456413,37311061
NCT04456413,4148615
NCT04456413,4169154
NCT04470427,4302666
NCT04470427,45763594
NCT04470427,4078242
NCT04365764,4148981
NCT04456049,4152194
NCT04456049,415479
NCT04425915,4213477
NCT04425915,4120014
NCT04386369,4096101
NCT04399109,4224504
NCT04445272,409491
NCT04380727,3013457
NCT04380727,438878
NCT04376476,37396703
NCT04376476,4078242
NCT04376476,44808684
NCT04384614,45320943
NCT04384614,4120014
NCT04468958,409491
NCT04468958,19117912
NCT04468958,4216067
NCT04463004,4148615
NCT04463004,4108582
NCT04463004,434557
NCT04463004,4296023
NCT04443270,9394
NCT04443270,37392316
NCT04441684,4120014
NCT04390269,4120014
NCT04306705,3198682
NCT04306705,4480642
NCT04306705,4336683
NCT04306705,45889912
NCT04306705,45878743
NCT04306705,4039428
NCT04468087,4041531
NCT04468087,4189605
NCT04468087,4480642
NCT04468087,4336683
